Account,active_days,total_trades,total_pnl,avg_daily_pnl,pnl_std,avg_notional,avg_win_rate,worst_drawdown,trades_per_day,pnl_sharpe_proxy,freq_segment,size_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1,461,-327505.900056,-327505.900056,,14819.601279826464,0.08633093525179857,0.0,461.0,,Medium,Whale-ish,Less Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1,316,20039.581304,20039.581304,,2500.7734810126585,1.0,0.0,316.0,,Medium,Retail-ish,Less Consistent
0x271b280974205ca63b716753467d5a371de622ab,1,5,1793.1602149999999,1793.1602149999999,,31941.660000000003,1.0,0.0,5.0,,Infrequent,Whale-ish,Less Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1,6468,121487.258495,121487.258495,,483.21127087198516,0.8294797687861272,0.0,6468.0,,Frequent,Retail-ish,Less Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,1,755,52094.417678,52094.417678,,2951.092675496689,0.789010989010989,0.0,755.0,,Frequent,Whale-ish,Less Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,4,176,31429.354871000003,7857.338717750001,19600.3119657304,7264.789741248097,0.6848086124401914,-5564.01614,44.0,0.4008782478303375,Infrequent,Whale-ish,Less Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,1,144,34983.381862,34983.381862,,4554.800138888889,0.987012987012987,0.0,144.0,,Infrequent,Whale-ish,Less Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1,191,7612.618288,7612.618288,,2786.4265445026176,1.0,0.0,191.0,,Infrequent,Retail-ish,Less Consistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,1,125,16102.56859,16102.56859,,6480.62816,1.0,0.0,125.0,,Infrequent,Whale-ish,Less Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2,131,160450.518105,80225.2590525,113455.64939694041,3939.5162473572937,1.0,0.0,65.5,0.7071067811865476,Infrequent,Whale-ish,More Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1,3706,69266.305684,69266.305684,,494.25018348623854,0.8542234332425068,0.0,3706.0,,Frequent,Retail-ish,Less Consistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,1,322,57667.858125,57667.858125,,8191.46645962733,0.9357142857142857,0.0,322.0,,Medium,Whale-ish,Less Consistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,2412,98916.387343,49458.1936715,81485.78924361782,12773.959711239326,0.8706763357256778,0.0,1206.0,0.6069548338500469,Frequent,Whale-ish,More Consistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,1,218,0.0,0.0,,3239.8509633027525,,0.0,218.0,,Medium,Whale-ish,Less Consistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,1,250,101539.274031,101539.274031,,525.47136,1.0,0.0,250.0,,Medium,Retail-ish,Less Consistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1,202,327545.999992,327545.999992,,16311.138465346536,1.0,0.0,202.0,,Medium,Whale-ish,Less Consistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1,412,51737.579418,51737.579418,,2341.046262135922,1.0,0.0,412.0,,Medium,Retail-ish,Less Consistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,4051,225180.216787,112590.1083935,106186.07435853631,2869.273145214608,0.946246519983581,0.0,2025.5,1.0603095469311778,Frequent,Whale-ish,More Consistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,1,15,0.0,0.0,,2333.2533333333336,,0.0,15.0,,Infrequent,Retail-ish,Less Consistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1,53,11.717676000000012,11.717676000000012,,947.7837735849057,0.2857142857142857,0.0,53.0,,Infrequent,Retail-ish,Less Consistent
0x8477e447846c758f5a675856001ea72298fd9cb5,1,1799,39978.37791,39978.37791,,1380.017626459144,0.8890577507598785,0.0,1799.0,,Frequent,Retail-ish,Less Consistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,1,712,8019.0139500000005,8019.0139500000005,,2939.345323033708,1.0,0.0,712.0,,Frequent,Whale-ish,Less Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1,4207,49172.147364,49172.147364,,1637.3528048490612,0.9728982300884956,0.0,4207.0,,Frequent,Retail-ish,Less Consistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1,280,66908.358386,66908.358386,,1688.0941071428572,0.9870967741935484,0.0,280.0,,Medium,Retail-ish,Less Consistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,1,187,20553.162486,20553.162486,,3395.331657754011,1.0,0.0,187.0,,Infrequent,Whale-ish,Less Consistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1,9,55.01524,55.01524,,1862.9299999999998,1.0,0.0,9.0,,Infrequent,Retail-ish,Less Consistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,5352,1373731.2969709998,457910.4323236666,790674.4851407114,6948.177460307933,0.6241923640883025,0.0,1784.0,0.5791390021168763,Frequent,Whale-ish,More Consistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1,267,11671.68,11671.68,,2725.7805992509366,0.7735849056603774,0.0,267.0,,Medium,Retail-ish,Less Consistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,1,9784,685542.036984,685542.036984,,2694.406506541292,0.827427724240178,0.0,9784.0,,Frequent,Retail-ish,Less Consistent
